cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,hygiene_risk,complaints_per_100_people,cleaning_pressure
8,2,2,1,120,2,0,0.8333333333333334,240
9,1,1,0,100,1,0,0.0,100
7,3,3,2,150,4,0,1.3333333333333335,600
5,6,6,5,300,10,1,1.6666666666666667,3000
4,8,8,7,400,14,1,1.7500000000000002,5600
3,9,9,10,450,18,1,2.2222222222222223,8100
8,3,2,1,180,3,0,0.5555555555555556,540
6,5,5,3,250,7,1,1.2,1750
9,2,1,0,90,2,0,0.0,180
4,7,7,6,350,12,1,1.7142857142857144,4200
7,4,4,2,220,5,0,0.9090909090909091,1100
5,7,6,5,310,11,1,1.6129032258064515,3410
8,2,3,1,140,3,0,0.7142857142857143,420
3,8,9,9,500,20,1,1.7999999999999998,10000
6,4,5,3,280,8,1,1.0714285714285714,2240
9,1,1,0,80,1,0,0.0,80
7,3,3,1,160,4,0,0.625,640
5,6,7,6,330,13,1,1.8181818181818181,4290
4,9,8,8,420,16,1,1.9047619047619049,6720
8,2,2,0,110,2,0,0.0,220
6,5,5,4,260,9,1,1.5384615384615385,2340
9,2,1,0,100,1,0,0.0,100
7,4,3,2,190,5,0,1.0526315789473684,950
4,8,8,7,390,15,1,1.7948717948717947,5850
8,3,2,1,150,3,0,0.6666666666666667,450
3,9,9,11,480,19,1,2.2916666666666665,9120
7,3,4,2,210,6,0,0.9523809523809524,1260
6,5,5,3,270,8,1,1.1111111111111112,2160
9,1,1,0,70,1,0,0.0,70
