cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,hygiene_risk
8,2,2,1,120,2,0
9,1,1,0,100,1,0
7,3,3,2,150,4,0
5,6,6,5,300,10,1
4,8,8,7,400,14,1
3,9,9,10,450,18,1
8,3,2,1,180,3,0
6,5,5,3,250,7,1
9,2,1,0,90,2,0
4,7,7,6,350,12,1
7,4,4,2,220,5,0
5,7,6,5,310,11,1
8,2,3,1,140,3,0
3,8,9,9,500,20,1
6,4,5,3,280,8,1
9,1,1,0,80,1,0
7,3,3,1,160,4,0
5,6,7,6,330,13,1
4,9,8,8,420,16,1
8,2,2,0,110,2,0
6,5,5,4,260,9,1
9,2,1,0,100,1,0
7,4,3,2,190,5,0
4,8,8,7,390,15,1
5,6,6,5,300,10,1
8,3,2,1,150,3,0
3,9,9,11,480,19,1
7,3,4,2,210,6,0
6,5,5,3,270,8,1
9,1,1,0,70,1,0
